id,magnitude,color_index,size,ellipticity,label
obj_0000126,14.51,0.51,4.22,0.19,spiral
obj_0000127,15.15,0.92,1.73,0.13,spiral
obj_0000128,16.15,1.01,1.56,0.03,spiral
obj_0000129,15.24,0.61,0.72,0.43,spiral
obj_0000130,13.67,0.86,3.92,0.06,spiral
obj_0000131,16.1,0.37,1.7,0.0,spiral
obj_0000132,14.41,0.42,0.97,0.32,spiral
obj_0000133,16.71,0.12,2.03,0.32,spiral
obj_0000134,14.62,0.93,2.99,0.17,spiral
obj_0000135,18.32,0.43,2.1,0.07,spiral
obj_0000136,14.83,0.2,0.97,0.2,spiral
obj_0000137,15.52,0.75,2.29,0.08,spiral
obj_0000138,17.22,1.0,1.76,0.17,spiral
obj_0000139,14.15,0.49,3.01,0.08,spiral
obj_0000140,16.34,0.07,2.24,0.06,spiral
obj_0000141,17.96,0.5,2.8,0.04,elliptical
obj_0000142,13.59,0.67,3.21,0.59,spiral
obj_0000143,16.28,0.78,2.58,0.11,elliptical
obj_0000144,16.39,0.83,2.63,0.03,spiral
obj_0000145,17.17,0.62,2.85,0.09,elliptical
obj_0000146,14.14,0.52,2.69,0.26,spiral
obj_0000147,14.02,0.81,1.59,0.22,spiral
obj_0000148,16.78,0.2,1.36,0.05,spiral
obj_0000149,16.45,0.31,4.5,0.07,spiral
obj_0000150,16.38,0.38,4.3,0.19,spiral
obj_0000151,16.52,0.47,1.11,0.16,spiral
obj_0000152,14.98,0.19,1.98,0.23,spiral
obj_0000153,16.35,0.89,2.74,0.2,spiral
obj_0000154,16.44,0.24,2.71,0.09,spiral
obj_0000155,14.93,-0.21,2.71,0.29,spiral
obj_0000156,18.8,0.9,1.71,0.02,elliptical
obj_0000157,16.71,0.75,2.21,0.2,spiral
obj_0000158,14.21,0.58,3.4,0.08,spiral
obj_0000159,16.98,0.74,2.58,0.14,elliptical
obj_0000160,14.54,0.63,2.11,0.31,spiral
obj_0000161,17.18,0.95,1.69,0.07,spiral
obj_0000162,17.74,0.37,3.22,0.05,spiral
obj_0000163,14.77,1.12,2.62,0.29,spiral
obj_0000164,17.45,0.88,2.21,0.01,spiral
obj_0000165,16.62,0.42,2.94,0.64,spiral
obj_0000166,17.23,0.37,2.41,0.01,elliptical
obj_0000167,18.85,0.64,1.04,0.21,elliptical
obj_0000168,15.63,0.26,3.01,0.35,elliptical
obj_0000169,14.87,0.54,5.06,0.33,spiral
obj_0000170,14.67,1.0,1.51,0.19,spiral
obj_0000171,14.78,0.65,2.83,0.04,spiral
obj_0000172,15.88,1.23,2.03,0.36,elliptical
obj_0000173,16.51,0.37,3.52,0.15,spiral
obj_0000174,16.42,0.74,2.62,0.04,spiral
obj_0000175,17.24,0.44,3.12,0.12,spiral
obj_0000176,16.02,0.54,1.06,0.16,elliptical
obj_0000177,18.18,0.75,2.16,0.12,spiral
obj_0000178,15.6,0.38,1.18,0.44,spiral
obj_0000179,20.08,0.34,2.11,0.35,elliptical
obj_0000180,16.94,0.46,2.7,0.24,spiral
obj_0000181,14.71,0.44,2.87,0.3,spiral
obj_0000182,14.39,0.3,2.56,0.11,spiral
obj_0000183,16.72,1.03,2.89,0.19,spiral
obj_0000184,15.66,0.51,2.1,0.18,elliptical
obj_0000185,17.07,0.85,1.41,0.08,elliptical
obj_0000186,16.71,0.83,2.61,0.03,elliptical
obj_0000187,15.89,0.91,2.41,0.02,spiral
obj_0000188,14.73,0.2,3.89,0.16,elliptical
obj_0000189,13.73,0.5,3.43,0.04,spiral
obj_0000190,15.33,0.81,3.45,0.12,elliptical
obj_0000191,17.28,0.42,2.01,0.05,spiral
obj_0000192,16.32,1.05,2.52,0.09,elliptical
obj_0000193,14.13,0.23,2.8,0.06,elliptical
obj_0000194,16.26,0.85,1.7,0.13,spiral
obj_0000195,16.58,0.47,1.59,0.01,elliptical
obj_0000196,14.67,0.92,1.9,0.16,spiral
obj_0000197,16.23,0.68,1.86,0.09,spiral
obj_0000198,16.09,0.35,2.92,0.27,elliptical
obj_0000199,14.29,0.85,2.77,0.57,spiral
obj_0000200,16.54,0.08,2.46,0.42,spiral
obj_0000201,16.84,0.5,2.6,0.12,elliptical
obj_0000202,17.62,0.46,2.42,0.28,spiral
obj_0000203,17.58,0.73,2.2,0.32,elliptical
obj_0000204,13.93,-0.21,2.17,0.25,spiral
obj_0000205,14.59,0.67,1.04,0.05,elliptical
obj_0000206,16.77,0.71,2.28,0.09,spiral
obj_0000207,16.77,0.36,2.2,0.16,spiral
obj_0000208,16.77,0.51,1.96,0.21,elliptical
obj_0000209,21.78,0.61,2.0,0.32,elliptical
obj_0000210,16.86,0.88,2.53,0.25,elliptical
obj_0000211,17.7,-0.05,2.19,0.11,spiral
obj_0000212,17.43,0.58,3.1,0.17,spiral
obj_0000213,16.98,0.74,1.34,0.03,spiral
obj_0000214,15.53,0.79,3.25,0.33,spiral
obj_0000215,17.14,0.53,3.56,0.07,spiral
obj_0000216,14.84,0.77,3.13,0.51,elliptical
obj_0000217,15.64,0.58,0.76,0.03,spiral
obj_0000218,15.27,0.94,2.67,0.04,elliptical
obj_0000219,16.12,0.35,1.56,0.42,spiral
obj_0000220,19.47,0.4,1.76,0.39,spiral
obj_0000221,13.2,0.74,2.2,0.28,elliptical
obj_0000222,17.03,0.79,2.63,0.27,spiral
obj_0000223,13.58,0.75,3.19,0.14,elliptical
obj_0000224,15.29,0.47,2.67,0.13,spiral
obj_0000225,17.63,0.48,2.0,0.04,spiral
obj_0000226,16.1,0.6,3.74,0.08,spiral
obj_0000227,14.38,0.27,3.39,0.17,spiral
obj_0000228,14.93,0.36,1.22,0.28,spiral
obj_0000229,17.02,1.04,0.99,0.13,elliptical
obj_0000230,14.9,0.55,1.31,0.06,spiral
obj_0000231,16.32,0.44,2.2,0.39,spiral
obj_0000232,16.07,0.43,2.1,0.21,spiral
obj_0000233,15.02,0.69,1.11,0.05,spiral
obj_0000234,19.22,1.23,3.65,0.06,spiral
obj_0000235,16.95,0.95,1.48,0.17,spiral
obj_0000236,12.96,0.21,2.11,0.16,spiral
obj_0000237,16.28,0.98,2.18,0.02,spiral
obj_0000238,15.01,0.35,3.36,0.25,elliptical
obj_0000239,17.28,0.41,3.12,0.06,elliptical
obj_0000240,14.81,0.46,1.06,0.08,spiral
obj_0000241,15.83,0.25,1.09,0.05,spiral
obj_0000242,16.76,0.99,2.7,0.17,elliptical
obj_0000243,17.3,0.43,2.94,0.06,elliptical
obj_0000244,14.2,-0.03,2.91,0.23,spiral
obj_0000245,15.5,0.35,2.99,0.24,spiral
obj_0000246,15.29,0.66,3.59,0.02,elliptical
obj_0000247,15.02,0.08,3.31,0.31,elliptical
obj_0000248,18.65,0.68,3.54,0.24,elliptical
obj_0000249,16.61,0.33,2.96,0.25,elliptical
obj_0000250,14.11,0.93,4.65,0.43,elliptical
obj_0000251,17.38,0.74,3.28,0.05,spiral
obj_0000252,19.18,0.62,2.4,0.38,spiral
obj_0000253,17.55,0.14,3.33,0.58,spiral
obj_0000254,13.72,0.21,1.93,0.12,elliptical
obj_0000255,15.27,0.43,2.86,0.09,elliptical
obj_0000256,17.9,0.53,2.84,0.24,spiral
obj_0000257,14.94,1.06,3.11,0.15,spiral
obj_0000258,16.67,0.69,1.59,0.2,elliptical
obj_0000259,17.16,0.49,3.43,0.08,spiral
obj_0000260,14.61,1.04,2.38,0.06,spiral
obj_0000261,15.91,0.57,3.45,0.1,elliptical
obj_0000262,11.14,0.73,2.6,0.29,elliptical
obj_0000263,14.46,1.07,2.67,0.03,spiral
obj_0000264,15.62,0.81,2.27,0.15,spiral
obj_0000265,14.13,0.73,2.23,0.33,spiral
obj_0000266,18.45,0.77,2.83,0.12,spiral
obj_0000267,13.85,0.58,2.24,0.05,spiral
obj_0000268,15.34,0.61,1.16,0.28,elliptical
obj_0000269,16.2,0.12,2.4,0.09,spiral
obj_0000270,18.16,0.39,0.43,0.41,elliptical
obj_0000271,13.85,0.59,1.6,0.19,spiral
obj_0000272,17.74,0.74,1.7,0.15,elliptical
obj_0000273,16.02,0.47,2.96,0.13,spiral
obj_0000274,14.53,1.32,4.54,0.02,spiral
obj_0000275,16.69,0.84,2.14,0.21,spiral
obj_0000276,16.3,0.67,2.76,0.07,spiral
obj_0000277,15.1,0.17,3.49,0.22,spiral
obj_0000278,16.1,0.58,2.69,0.0,spiral
obj_0000279,15.42,0.75,1.17,0.04,elliptical
obj_0000280,16.17,0.57,1.98,0.37,elliptical
obj_0000281,16.99,0.56,2.9,0.11,elliptical
obj_0000282,18.38,0.55,2.96,0.0,spiral
obj_0000283,14.14,0.39,4.16,0.06,spiral
obj_0000284,19.2,0.22,2.85,0.15,spiral
obj_0000285,13.07,1.26,3.79,0.23,elliptical
obj_0000286,15.77,0.3,1.88,0.46,spiral
obj_0000287,16.88,0.46,0.66,0.25,spiral
obj_0000288,16.42,0.68,2.6,0.01,spiral
obj_0000289,15.07,-0.02,4.47,0.01,spiral
obj_0000290,15.69,1.07,1.89,0.03,elliptical
obj_0000291,15.26,0.95,4.15,0.03,spiral
obj_0000292,15.12,0.15,3.23,0.23,spiral
obj_0000293,17.27,0.5,2.32,0.37,elliptical
obj_0000294,16.54,0.89,2.31,0.31,spiral
obj_0000295,14.96,0.59,2.93,0.21,spiral
obj_0000296,17.35,0.9,1.0,0.12,spiral
obj_0000297,16.46,1.06,2.42,0.09,elliptical
obj_0000298,17.22,0.35,2.96,0.17,elliptical
obj_0000299,16.94,0.74,2.73,0.14,spiral
obj_0000300,14.76,0.24,2.81,0.14,elliptical
obj_0000301,15.16,0.46,2.7,0.15,elliptical
obj_0000302,17.12,0.62,2.72,0.08,spiral
obj_0000303,16.92,0.64,2.4,0.12,spiral
obj_0000304,15.97,0.35,1.33,0.03,elliptical
obj_0000305,16.18,0.78,3.13,0.12,spiral
obj_0000306,17.92,0.16,2.36,0.19,spiral
obj_0000307,15.11,0.34,2.48,0.13,elliptical
obj_0000308,16.82,0.92,2.88,0.2,elliptical
obj_0000309,15.7,0.36,1.58,0.03,elliptical
obj_0000310,15.67,0.68,2.54,0.01,spiral
obj_0000311,17.65,1.09,3.12,0.07,spiral
obj_0000312,17.24,0.59,2.7,0.06,spiral
obj_0000313,17.22,1.0,3.02,0.08,spiral
obj_0000314,17.96,0.19,1.38,0.24,elliptical
obj_0000315,16.03,0.42,2.74,0.12,spiral
obj_0000316,17.02,0.67,2.45,0.04,elliptical
obj_0000317,15.53,0.29,1.88,0.27,spiral
obj_0000318,16.49,0.46,2.26,0.33,spiral
obj_0000319,15.8,0.64,2.56,0.01,spiral
obj_0000320,16.15,0.65,2.55,0.23,elliptical
obj_0000321,16.89,0.51,3.67,0.22,spiral
obj_0000322,14.77,0.05,2.44,0.09,elliptical
obj_0000323,19.14,0.41,3.22,0.03,elliptical
obj_0000324,14.49,0.18,2.59,0.31,spiral
obj_0000325,14.18,0.58,1.96,0.02,elliptical
obj_0000326,17.74,0.59,2.28,0.01,spiral
obj_0000327,17.19,0.56,2.08,0.01,elliptical
obj_0000328,16.94,0.32,3.0,0.1,elliptical
obj_0000329,16.94,0.1,3.0,0.01,elliptical
obj_0000330,15.98,1.03,1.29,0.08,elliptical
obj_0000331,14.65,0.61,2.34,0.01,spiral
obj_0000332,16.11,0.51,3.08,0.23,spiral
obj_0000333,14.98,0.58,2.02,0.43,elliptical
obj_0000334,17.46,0.2,2.56,0.39,elliptical
obj_0000335,15.78,0.99,3.16,0.07,spiral
obj_0000336,14.76,0.39,2.14,0.04,spiral
obj_0000337,15.52,0.57,3.27,0.04,elliptical
obj_0000338,16.62,0.75,2.73,0.06,elliptical
obj_0000339,15.15,0.82,3.17,0.12,spiral
obj_0000340,14.77,0.59,3.14,0.13,elliptical
obj_0000341,16.37,0.29,1.5,0.28,spiral
obj_0000342,16.37,0.78,3.66,0.08,spiral
obj_0000343,15.24,0.86,3.74,0.23,elliptical
obj_0000344,15.29,0.95,2.45,0.16,elliptical
obj_0000345,16.35,0.76,3.4,0.01,elliptical
obj_0000346,13.83,1.23,2.6,0.27,spiral
obj_0000347,13.89,0.64,2.91,0.19,spiral
obj_0000348,14.92,0.66,3.93,0.03,elliptical
obj_0000349,15.68,0.97,3.03,0.17,spiral
obj_0000350,16.47,1.08,1.99,0.06,spiral
obj_0000351,18.21,1.02,2.38,0.01,spiral
obj_0000352,17.29,0.58,2.17,0.23,elliptical
obj_0000353,15.76,0.83,2.1,0.05,elliptical
obj_0000354,15.97,0.92,2.68,0.15,spiral
obj_0000355,14.5,0.62,2.31,0.04,elliptical
obj_0000356,15.97,0.35,2.95,0.17,spiral
obj_0000357,15.57,0.3,2.87,0.01,elliptical
obj_0000358,16.48,0.71,2.91,0.41,elliptical
obj_0000359,14.76,0.86,2.36,0.26,spiral
obj_0000360,16.78,0.46,2.88,0.01,elliptical
obj_0000361,18.3,0.37,2.52,0.21,elliptical
obj_0000362,15.84,0.45,2.68,0.03,spiral
obj_0000363,16.6,0.64,2.29,0.02,spiral
obj_0000364,17.04,0.83,2.01,0.16,elliptical
obj_0000365,15.4,0.71,2.07,0.05,spiral
obj_0000366,16.34,0.6,3.42,0.01,elliptical
obj_0000367,16.02,1.02,3.81,0.04,elliptical
obj_0000368,16.15,1.42,2.38,0.66,spiral
obj_0000369,14.84,0.6,2.41,0.11,spiral
obj_0000370,16.04,1.08,0.82,0.04,spiral
obj_0000371,16.75,0.39,2.36,0.02,spiral
obj_0000372,18.18,0.94,1.41,0.19,spiral
obj_0000373,17.44,0.35,3.42,0.06,elliptical
obj_0000374,19.23,0.49,1.41,0.07,spiral
obj_0000375,14.85,0.59,3.15,0.25,spiral
obj_0000376,17.31,0.02,3.89,0.21,spiral
obj_0000377,16.28,0.05,2.9,0.01,elliptical
obj_0000378,19.28,0.34,1.58,0.07,spiral
obj_0000379,14.79,1.0,2.28,0.06,spiral
obj_0000380,14.74,0.53,2.4,0.45,elliptical
obj_0000381,15.1,0.87,3.03,0.16,spiral
obj_0000382,12.81,0.11,1.03,0.25,spiral
obj_0000383,15.21,0.71,1.71,0.14,elliptical
obj_0000384,14.86,0.73,4.2,0.02,elliptical
obj_0000385,16.23,0.31,3.6,0.05,elliptical
obj_0000386,16.51,1.16,2.56,0.31,spiral
obj_0000387,18.81,0.22,1.69,0.01,spiral
obj_0000388,17.43,0.53,2.26,0.08,elliptical
obj_0000389,15.13,1.34,3.17,0.37,spiral
obj_0000390,14.65,0.31,2.46,0.09,elliptical
obj_0000391,16.74,0.41,2.42,0.51,spiral
obj_0000392,14.02,0.65,3.78,0.12,spiral
obj_0000393,18.75,0.2,2.81,0.11,spiral
obj_0000394,17.77,0.76,2.05,0.07,spiral
obj_0000395,15.3,0.07,3.32,0.08,spiral
obj_0000396,13.43,0.6,2.48,0.02,spiral
obj_0000397,18.03,1.03,2.0,0.07,elliptical
obj_0000398,15.83,0.79,2.69,0.05,spiral
obj_0000399,17.86,0.59,3.8,0.1,elliptical
obj_0000400,13.61,0.5,3.17,0.28,spiral
obj_0000401,15.1,0.57,2.73,0.08,elliptical
obj_0000402,16.01,0.51,1.94,0.23,elliptical
obj_0000403,16.07,0.72,3.69,0.12,elliptical
obj_0000404,15.32,0.79,3.13,0.16,spiral
obj_0000405,16.93,0.64,2.33,0.3,spiral
obj_0000406,14.4,0.81,3.49,0.11,elliptical
obj_0000407,15.79,0.75,3.66,0.43,spiral
obj_0000408,16.18,0.23,1.46,0.03,elliptical
obj_0000409,16.77,-0.1,1.25,0.21,elliptical
obj_0000410,17.07,0.65,2.4,0.35,elliptical
obj_0000411,14.31,0.46,3.07,0.19,spiral
obj_0000412,13.7,0.66,2.63,0.23,spiral
obj_0000413,17.92,1.1,3.53,0.24,elliptical
obj_0000414,16.5,0.52,3.64,0.21,elliptical
obj_0000415,14.88,0.69,1.74,0.16,elliptical
obj_0000416,18.33,0.35,2.1,0.4,spiral
obj_0000417,16.17,0.75,1.95,0.14,spiral
obj_0000418,17.77,0.37,2.04,0.2,elliptical
obj_0000419,16.1,0.9,2.39,0.26,spiral
obj_0000420,19.09,0.64,2.15,0.05,spiral
obj_0000421,18.63,0.56,2.42,0.11,elliptical
obj_0000422,15.63,0.11,1.43,0.06,spiral
obj_0000423,17.46,0.19,4.14,0.37,spiral
obj_0000424,16.97,0.77,2.16,0.13,spiral
obj_0000425,18.05,0.95,2.61,0.19,spiral
obj_0000426,14.55,0.67,3.62,0.18,spiral
obj_0000427,17.03,0.53,1.93,0.21,spiral
obj_0000428,17.59,0.61,4.12,0.18,elliptical
obj_0000429,13.36,0.56,2.85,0.03,elliptical
obj_0000430,14.23,0.39,3.06,0.09,spiral
obj_0000431,12.94,0.19,3.23,0.02,spiral
obj_0000432,15.6,0.2,2.75,0.13,spiral
obj_0000433,17.08,0.39,2.23,0.18,elliptical
obj_0000434,18.25,0.63,3.18,0.23,elliptical
obj_0000435,16.11,0.2,2.37,0.15,spiral
obj_0000436,18.44,0.58,2.87,0.17,elliptical
obj_0000437,13.93,0.37,1.15,0.18,spiral
obj_0000438,13.44,0.1,2.85,0.12,spiral
obj_0000439,15.92,0.41,3.5,0.19,spiral
obj_0000440,16.58,0.67,3.7,0.28,spiral
obj_0000441,15.95,0.41,2.34,0.16,spiral
obj_0000442,12.9,1.04,2.28,0.03,elliptical
obj_0000443,15.87,0.79,1.55,0.42,elliptical
obj_0000444,14.04,0.92,2.14,0.01,elliptical
obj_0000445,17.0,1.53,1.43,0.16,elliptical
obj_0000446,16.55,0.43,3.45,0.67,spiral
obj_0000447,14.59,0.17,3.7,0.01,spiral
obj_0000448,15.23,0.36,1.43,0.34,spiral
obj_0000449,14.41,0.62,2.38,0.44,elliptical
obj_0000450,15.91,0.72,3.16,0.03,elliptical
obj_0000451,17.43,0.66,1.89,0.24,elliptical
obj_0000452,14.52,0.47,1.97,0.45,spiral
obj_0000453,16.76,0.72,1.95,0.06,elliptical
obj_0000454,15.2,0.94,2.5,0.27,elliptical
obj_0000455,14.81,0.37,2.83,0.12,elliptical
obj_0000456,15.84,0.32,1.86,0.23,elliptical
obj_0000457,14.45,1.19,3.07,0.32,spiral
obj_0000458,15.17,0.26,2.21,0.07,spiral
obj_0000459,14.2,0.85,2.02,0.05,spiral
obj_0000460,18.95,0.54,1.78,0.04,spiral
obj_0000461,16.05,1.05,2.02,0.01,elliptical
obj_0000462,14.95,0.51,2.32,0.14,spiral
obj_0000463,16.32,0.72,3.67,0.16,spiral
obj_0000464,15.83,0.21,0.77,0.01,spiral
obj_0000465,15.67,0.4,2.64,0.63,spiral
obj_0000466,16.92,0.67,3.27,0.13,spiral
obj_0000467,17.14,0.4,3.06,0.13,spiral
obj_0000468,15.2,0.21,2.86,0.54,elliptical
obj_0000469,15.14,1.24,2.63,0.26,spiral
obj_0000470,15.59,0.59,3.89,0.21,spiral
obj_0000471,12.55,0.94,2.98,0.06,elliptical
obj_0000472,13.73,1.17,3.6,0.19,spiral
obj_0000473,18.05,0.44,2.53,0.26,spiral
obj_0000474,18.47,0.57,3.58,0.15,elliptical
obj_0000475,15.63,0.62,2.94,0.24,elliptical
obj_0000476,16.86,0.74,3.49,0.31,spiral
obj_0000477,16.47,0.94,2.45,0.17,spiral
obj_0000478,20.62,0.89,2.68,0.11,spiral
obj_0000479,17.68,0.82,2.38,0.21,elliptical
obj_0000480,15.81,0.5,2.24,0.3,elliptical
obj_0000481,14.57,0.6,2.31,0.08,spiral
obj_0000482,13.59,0.22,1.75,0.11,elliptical
obj_0000483,16.31,0.81,2.27,0.02,spiral
obj_0000484,14.87,1.29,4.03,0.15,elliptical
obj_0000485,13.87,0.68,3.38,0.12,spiral
obj_0000486,15.03,1.02,3.31,0.14,spiral
obj_0000487,14.38,0.85,2.62,0.13,spiral
obj_0000488,18.53,0.44,2.87,0.16,spiral
obj_0000489,17.32,0.33,2.77,0.32,spiral
obj_0000490,15.99,0.26,3.07,0.07,spiral
obj_0000491,18.22,0.64,1.96,0.44,spiral
obj_0000492,16.12,0.77,0.27,0.2,elliptical
obj_0000493,14.71,0.78,3.24,0.01,spiral
obj_0000494,18.28,0.26,2.76,0.02,elliptical
obj_0000495,16.81,0.97,1.77,0.15,spiral
obj_0000496,14.44,0.43,2.35,0.34,spiral
obj_0000497,15.71,0.64,3.76,0.1,spiral
obj_0000498,14.69,0.41,3.45,0.04,spiral
obj_0000499,13.93,0.25,3.86,0.01,spiral
obj_0000500,17.39,0.22,2.72,0.28,spiral
obj_0000501,18.86,0.81,0.84,0.1,spiral
obj_0000502,13.9,0.6,3.34,0.04,spiral
obj_0000503,16.84,0.27,2.88,0.07,spiral
obj_0000504,15.02,0.41,2.55,0.02,elliptical
obj_0000505,15.27,1.03,2.73,0.06,elliptical
obj_0000506,15.11,0.86,3.56,0.12,spiral
obj_0000507,14.7,0.78,2.92,0.19,spiral
obj_0000508,16.07,1.23,1.44,0.26,spiral
